Donor Type,Donor Age,Donor State of Residence,All Donors - All ABO,All Donors - O,All Donors - A,All Donors - B,All Donors - AB,All Donors - Unknown,Kidney - All ABO,Kidney - O,Kidney - A,Kidney - B,Kidney - AB,Kidney - Unknown,Liver - All ABO,Liver - O,Liver - A,Liver - B,Liver - AB,Liver - Unknown,Heart - All ABO,Heart - O,Heart - A,Heart - B,Heart - AB,Heart - Unknown,Pancreas - All ABO,Pancreas - O,Pancreas - A,Pancreas - B,Pancreas - AB,Pancreas - Unknown,Lung - All ABO,Lung - O,Lung - A,Lung - B,Lung - AB,Lung - Unknown,Intestine - All ABO,Intestine - O,Intestine - A,Intestine - B,Intestine - AB,Intestine - Unknown
,,Maine,8,4,3,1,0,0,6,2,3,1,0,0,7,4,2,1,0,0,5,2,2,1,0,0,7,4,2,1,0,0,1,1,0,0,0,0,7,4,2,1,0,0
,,Maryland,54,32,14,7,1,0,40,23,12,5,0,0,40,19,13,7,1,0,33,17,11,4,1,0,10,5,3,2,0,0,3,2,1,0,0,0,11,5,3,3,0,0
,,Massachusetts,32,16,11,4,1,0,17,7,8,2,0,0,21,12,6,3,0,0,20,8,7,4,1,0,2,1,1,0,0,0,2,2,0,0,0,0,9,8,1,0,0,0
,,Michigan,109,49,41,14,5,0,59,31,15,9,4,0,72,36,29,7,0,0,79,35,32,9,3,0,16,4,11,1,0,0,4,1,2,1,0,0,29,9,18,2,0,0
,,Minnesota,59,28,22,7,2,0,26,10,9,6,1,0,41,20,16,4,1,0,42,22,12,6,2,0,7,5,2,0,0,0,4,3,0,1,0,0,10,6,4,0,0,0
,,Mississippi,43,26,11,6,0,0,22,11,7,4,0,0,32,18,9,5,0,0,26,18,7,1,0,0,10,5,3,2,0,0,3,2,1,0,0,0,13,7,5,1,0,0
,,Missouri,80,48,22,8,2,0,39,23,10,6,0,0,51,31,15,5,0,0,53,36,11,4,2,0,12,7,4,1,0,0,6,5,1,0,0,0,20,12,7,1,0,0
,,Montana,14,8,6,0,0,0,7,3,4,0,0,0,11,6,5,0,0,0,12,7,5,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0
,,Nebraska,24,12,12,0,0,0,8,3,5,0,0,0,19,11,8,0,0,0,13,6,7,0,0,0,4,2,2,0,0,0,2,1,1,0,0,0,7,4,3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Nevada,35,21,6,8,0,0,31,20,4,7,0,0,21,15,4,2,0,0,24,17,2,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0
,,New Hampshire,5,1,2,2,0,0,3,0,2,1,0,0,5,1,2,2,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
,,New Jersey,69,38,19,9,3,0,44,23,13,6,2,0,43,27,10,5,1,0,47,28,13,5,1,0,6,5,1,0,0,0,5,4,0,1,0,0,11,7,2,1,1,0
,,New Mexico,26,16,9,1,0,0,13,9,3,1,0,0,21,12,8,1,0,0,19,11,7,1,0,0,3,2,1,0,0,0,1,0,1,0,0,0,3,2,1,0,0,0
,,New York,137,67,41,23,6,0,71,32,21,13,5,0,95,46,31,16,2,0,96,49,30,13,4,0,19,10,7,2,0,0,7,7,0,0,0,0,34,18,12,4,0,0
,,North Carolina,125,61,47,15,2,0,61,29,21,10,1,0,94,49,37,8,0,0,87,44,31,10,2,0,14,11,2,1,0,0,7,3,4,0,0,0,33,18,13,2,0,0
